host_response_rate,host_acceptance_rate,host_listings_count,latitude,longitude,city,zipcode,state,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
,,1.00,48.84549,2.34815,Paris,75005,Ile-de-France,2,Entire home/apt,0,1,1,76 ,49,200,60,1095,32
,,1.00,48.88627,2.3793,Paris,75019,Ile-de-France,2,Entire home/apt,1,1,1,900 ,,,3,730,0
100%,,2.00,48.8631,2.39527,Paris,75020,Ile-de-France,2,Private room,1,1,1,50 ,,,3,730,10
80%,,1.00,48.88562,2.37157,Paris,75019,Ile-de-France,4,Entire home/apt,1,1.5,3,125 ,,,5,120,54
100%,,2.00,48.8629,2.4038,Paris,75020,Île-de-France,2,Entire home/apt,1,1,2,50 ,40,350,14,60,0
100%,,1.00,48.85996,2.36755,Paris,75011,Ile-de-France,4,Entire home/apt,2,2,3,159 ,60,1000,5,21,16
100%,,1.00,48.85552,2.40457,Paris,75020,Ile-de-France,4,Entire home/apt,1,1,1,73 ,15,150,3,30,5
,,1.00,48.8522,2.299,Paris,75015,Ile-de-France,4,Entire home/apt,1,,1,175 ,50,,30,365,145
90%,,1.00,48.85613,2.30969,Paris,75007,Ile-de-France,4,Entire home/apt,1,1,2,115 ,42,150,30,305,260
100%,,2.00,48.89119,2.35516,Paris,75018,Ile-de-France,2,Entire home/apt,1,1,1,80 ,30,350,5,365,48
71%,,1.00,48.83892,2.32201,Paris,75007,Ile-de-France,1,Entire home/apt,0,1,0,90 ,15,200,1,730,37
0%,,1.00,48.82927,2.35672,Paris,75013,Ile-de-France,4,Entire home/apt,2,1,1,70 ,40,,6,15,52
100%,,1.00,48.84995,2.37373,Paris,75012,Ile-de-France,2,Entire home/apt,1,1,1,128 ,45,500,2,60,344
,,1.00,48.87842,2.35029,Paris,75010,Ile-de-France,2,Entire home/apt,1,1,1,114 ,,,30,30,0
90%,,2.00,48.83977,2.35682,Paris,75005,Île-de-France,2,Entire home/apt,1,1,1,88 ,30,400,30,305,67
100%,,1.00,48.85486,2.32885,Paris,75006,Île-de-France,2,Entire home/apt,0,1,1,65 ,75,350,4,360,85
