host_response_rate,host_acceptance_rate,host_listings_count,latitude,longitude,city,zipcode,state,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews
100%,,1.00,48.89558,2.34987,Paris,75018,Île-de-France,5,Entire home/apt,2,1,3,140 ,50,400,3,14,20
,,1.00,48.88305,2.3323,Paris,75009,Île-de-France,4,Entire home/apt,2,1,2,77 ,,700,120,1000,24
100%,,1.00,48.86336,2.37508,Paris,75011,Île-de-France,2,Entire home/apt,1,1,2,80 ,80,100,10,360,11
100%,,1.00,48.84801,2.37177,Paris,75012,Île-de-France,2,Entire home/apt,1,1,0,110 ,20,300,5,20,128
100%,,1.00,48.87813,2.3502,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,76 ,,,4,31,16
100%,,1.00,48.87714,2.3958,Paris,75019,Île-de-France,4,Entire home/apt,1,1,2,70 ,40,200,1,1125,134
100%,,1.00,48.85477,2.37261,Paris,75012,Île-de-France,5,Entire home/apt,3,1,10,160 ,95,700,2,7,66
,,1.00,48.84641,2.2899,Paris,75015,Île-de-France,1,Private room,1,1,2,64 ,,,1,1125,0
,,1.00,48.88381,2.34084,Paris,75018,IDF,5,Entire home/apt,2,2,3,250 ,30,500,7,30,1
,,1.00,48.88805,2.3597,Paris,75018,Île-de-France,2,Entire home/apt,0,1,0,65 ,,,1,31,2
,,1.00,48.86169,2.3608,Paris,75003,Île-de-France,2,Entire home/apt,1,1,1,55 ,,,360,1125,0
70%,,1.00,48.82274,2.36144,Paris,75013,Île-de-France,2,Entire home/apt,1,1,1,52 ,10,,3,1125,71
100%,,836.00,48.8677,2.28888,Paris,75116,Île-de-France,4,Entire home/apt,1,1,2,159 ,20,300,3,365,10
,,1.00,48.87495,2.35717,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,95 ,25,,3,15,5
100%,,1.00,48.82788,2.3233,Paris,75014,Île-de-France,2,Entire home/apt,1,1,1,85 ,30,500,2,10,4
100%,,1.00,48.8415,2.33153,Paris,75014,Île-de-France,4,Entire home/apt,2,1.5,3,150 ,45,250,2,15,51
,,1.00,48.85363,2.40535,Paris,75020,Île-de-France,3,Entire home/apt,1,1,2,44 ,,,10,30,3
100%,,1.00,48.83327,2.32307,Paris,75014,Île-de-France,3,Entire home/apt,2,1,2,55 ,10,,2,10,150
100%,,1.00,48.87503,2.33024,Paris,75009,Île-de-France,1,Shared room,1,1,1,62 ,15,300,1,365,171
100%,,2.00,48.87418,2.3816,Paris,75019,Île-de-France,3,Entire home/apt,1,1,2,50 ,60,300,2,31,16
100%,,2.00,48.83968,2.33296,Paris,75014,Île-de-France,4,Entire home/apt,1,1,3,135 ,50,400,2,15,13
,,1.00,48.84209,2.40267,Paris,75012,Île-de-France,1,Entire home/apt,1,1,1,122 ,,,31,62,0
100%,,1.00,48.87202,2.3768,Paris,75010,Île-de-France,6,Entire home/apt,3,2,3,140 ,80,500,4,30,25
,,1.00,48.86603,2.33983,Paris,75002,Île-de-France,2,Private room,1,1,1,70 ,7,250,3,7,1
100%,,47.00,48.85135,2.35564,Paris,75004,Île-de-France,2,Entire home/apt,1,1,2,149 ,85,200,90,365,0
100%,,1.00,48.82572,2.35754,Paris,75013,Île-de-France,4,Entire home/apt,1,1,2,69 ,29,300,30,305,235
100%,,1.00,48.83427,2.34809,Paris,75013,Île-de-France,3,Entire home/apt,2,2,2,230 ,100,700,7,30,6
100%,,1.00,48.87095,2.36658,Paris,75010,Île-de-France,3,Entire home/apt,1,1,0,85 ,50,800,1,100,67
100%,,836.00,48.85965,2.34076,Paris,75001,Île-de-France,4,Entire home/apt,1,1,2,183 ,20,300,3,365,13
100%,,5.00,48.85327,2.36631,Paris,75004,Île-de-France,2,Entire home/apt,0,1,2,168 ,,250,4,90,50
,,1.00,48.86192,2.35054,Paris,75001,Île-de-France,4,Entire home/apt,1,1,2,80 ,25,,2,14,10
100%,,836.00,48.83539,2.32585,Paris,75014,Île-de-France,4,Entire home/apt,2,1,2,283 ,20,300,3,36,3
100%,,836.00,48.8673,2.30524,Paris,75008,Île-de-France,2,Entire home/apt,0,1,1,185 ,20,300,3,365,4
100%,,1.00,48.83549,2.2883,Paris,75015,Île-de-France,7,Entire home/apt,2,1,5,155 ,45,350,2,200,146
100%,,1.00,48.83467,2.39533,Paris,75012,Île-de-France,4,Entire home/apt,1,1,3,95 ,,,3,30,119
100%,,4.00,48.84696,2.26809,Paris,75016,Île-de-France,2,Entire home/apt,1,1,1,93 ,60,500,2,1125,28
100%,,1.00,48.87761,2.34345,Paris,75009,Île-de-France,2,Entire home/apt,1,1,2,50 ,0,150,10,1125,15
100%,,1.00,48.88319,2.36584,Paris,75010,,5,Entire home/apt,2,1,3,120 ,75,300,2,1125,88
100%,,1.00,48.89534,2.32436,Paris,75017,Île-de-France,2,Entire home/apt,1,1,1,65 ,45,400,1,1125,50
,,1.00,48.85532,2.30642,Paris,75007,Île-de-France,2,Entire home/apt,1,1,1,77 ,,,5,1125,0
100%,,1.00,48.86548,2.33228,Paris,75001,Île-de-France,3,Entire home/apt,1,1,1,200 ,50,200,4,30,14
,,1.00,48.89813,2.36513,Paris,75018,Île-de-France,2,Entire home/apt,1,1,1,59 ,55,300,7,1125,58
100%,,2.00,48.84474,2.27901,Paris,75015,Île-de-France,1,Entire home/apt,1,1,1,59 ,15,100,3,1125,12
95%,,2.00,48.84665,2.29588,Paris,75015,Île-de-France,2,Private room,1,1,2,50 ,0,500,2,1125,5
100%,,1.00,48.85567,2.3604,Paris,75004,Île-de-France,2,Entire home/apt,0,1,1,73 ,,150,7,30,113
100%,,1.00,48.84917,2.38745,Paris,75012,Île-de-France,2,Private room,1,1,1,37 ,17,165,2,1125,276
,,1.00,48.83517,2.35777,Paris,75013,Île-de-France,4,Entire home/apt,2,1.5,2,130 ,,500,7,60,23
83%,,1.00,48.84595,2.33078,Paris,75006,Île-de-France,2,Entire home/apt,1,1,0,50 ,0,200,29,75,8
100%,,1.00,48.88629,2.32446,Paris,75017,Île-de-France,3,Entire home/apt,1,1,1,79 ,50,3000,2,30,54
81%,,31.00,48.86152,2.34518,Paris,75001,Île-de-France,4,Entire home/apt,1,1,1,188 ,,800,7,1125,17
100%,,1.00,48.85136,2.37451,Paris,75012,Île-de-France,2,Entire home/apt,1,1.5,1,80 ,35,400,2,15,227
,,1.00,48.88947,2.35379,Paris,75018,Île-de-France,3,Entire home/apt,2,1,2,30 ,15,300,4,14,0
90%,,1.00,48.85795,2.367,Paris,75003,Île-de-France,4,Entire home/apt,1,1,1,99 ,60,250,2,1125,16
100%,,1.00,48.86062,2.41985,Bagnolet,93170,Île-de-France,5,Entire home/apt,2,1,1,90 ,30,300,2,1125,0
90%,,2.00,48.87666,2.35247,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,90 ,40,500,4,30,3
100%,,3.00,48.88167,2.3365,Paris,75009,Île-de-France,2,Private room,1,0.5,0,41 ,18,100,1,120,468
100%,,2.00,48.86074,2.32376,Paris,75007,Île-de-France,5,Entire home/apt,3,1,4,120 ,100,200,5,1125,1
75%,,1.00,48.88619,2.37136,Paris,75019,Île-de-France,2,Entire home/apt,1,1,1,50 ,,,4,365,28
100%,,2.00,48.84502,2.33065,Paris,75006,Île-de-France,4,Entire home/apt,2,1,2,180 ,,,4,50,5
,,1.00,48.8894,2.36955,Paris,75019,Île-de-France,2,Private room,1,1,1,30 ,20,,2,7,28
100%,,2.00,48.83932,2.34816,Paris,75005,Île-de-France,4,Entire home/apt,3,1,3,350 ,45,450,3,7,17
,,3.00,48.87337,2.35411,Paris,75010,Île-de-France,4,Entire home/apt,1,1,2,90 ,50,150,2,1125,37
100%,,1.00,48.86385,2.36466,Paris,75003,Île-de-France,3,Entire home/apt,2,1,2,550 ,70,650,3,30,17
100%,,5.00,48.88939,2.33875,Paris,75018,Île-de-France,3,Entire home/apt,1,1,1,75 ,40,200,2,1125,372
90%,,13.00,48.85125,2.34239,Paris,75006,Île-de-France,4,Entire home/apt,1,1,3,135 ,44,275,3,93,44
,,1.00,48.87614,2.40492,Paris,75020,Île-de-France,3,Entire home/apt,1,1,2,70 ,,200,20,30,4
100%,,6.00,48.84838,2.34788,Paris,75005,Île-de-France,2,Entire home/apt,1,,1,52 ,30,100,30,305,23
100%,,1.00,48.84617,2.36833,Paris,75004,Île-de-France,4,Entire home/apt,2,1,4,130 ,60,300,3,20,124
,,1.00,48.86755,2.38085,Paris,75011,Île-de-France,4,Entire home/apt,1,1,2,45 ,,600,7,1125,2
100%,,1.00,48.83036,2.37239,Paris,75013,Île-de-France,3,Entire home/apt,1,1,2,65 ,40,150,7,60,43
87%,,1.00,48.86155,2.3008,Paris,75007,Île-de-France,4,Entire home/apt,2,1,2,180 ,50,600,4,1125,4
100%,,1.00,48.88213,2.33706,Paris,75009,Île-de-France,4,Entire home/apt,2,1,3,120 ,30,500,3,1125,49
100%,,2.00,48.88735,2.35217,Paris,75018,Île-de-France,6,Entire home/apt,3,1,5,180 ,50,500,3,90,70
100%,,1.00,48.87781,2.35474,Paris,75010,Île-de-France,4,Entire home/apt,2,1,4,110 ,55,130,3,40,37
100%,,6.00,48.88255,2.29682,Paris,75017,Île-de-France,1,Entire home/apt,1,0.5,1,38 ,20,100,30,305,12
100%,,1.00,48.8226,2.32893,Paris,75014,Île-de-France,2,Private room,1,1,1,50 ,20,100,2,15,64
100%,,47.00,48.85745,2.34703,Paris,75001,Île-de-France,4,Entire home/apt,2,2,0,325 ,90,200,3,365,10
67%,,1.00,48.88242,2.38131,Paris,75019,Île-de-France,4,Entire home/apt,1,1,2,55 ,15,750,12,90,8
100%,,1.00,48.87517,2.359,Paris,75010,Île-de-France,4,Entire home/apt,2,1,3,100 ,50,500,5,90,19
,,1.00,48.86787,2.30239,Paris,75008,Île-de-France,3,Entire home/apt,1,1,2,189 ,80,800,2,95,28
,,1.00,48.86547,2.39874,Paris,75020,Île-de-France,2,Entire home/apt,1,1,1,65 ,,,3,30,0
100%,,1.00,48.87347,2.37444,Paris,75010,Île-de-France,4,Entire home/apt,2,1,3,101 ,50,0,3,1125,13
100%,,1.00,48.87979,2.28922,Paris,75017,Île-de-France,4,Entire home/apt,2,1,0,98 ,100,,7,1125,0
100%,,1.00,48.87211,2.39309,Paris,75020,Île-de-France,5,Entire home/apt,2,1,3,98 ,60,300,4,30,39
88%,,1.00,48.89102,2.32972,Paris,75017,Île-de-France,6,Entire home/apt,3,2,3,250 ,50,1000,4,30,28
100%,,1.00,48.84558,2.29818,Paris,75015,Île-de-France,2,Entire home/apt,1,1,1,100 ,30,500,15,1125,11
100%,,1.00,48.86504,2.33249,Paris,75001,Île-de-France,3,Entire home/apt,1,1,1,99 ,40,100,2,1125,79
100%,,1.00,48.88366,2.34143,Paris,75018,Île-de-France,4,Entire home/apt,2,1,4,129 ,50,300,2,1125,390
100%,,1.00,48.8753,2.38088,Paris,75019,Île-de-France,4,Entire home/apt,2,1,2,130 ,40,,5,10,21
100%,,1.00,48.86102,2.36186,Paris,75003,Île-de-France,8,Entire home/apt,4,1,9,350 ,100,0,4,21,26
100%,,1.00,48.85999,2.30565,Paris,75007,Île-de-France,4,Entire home/apt,1,1,1,150 ,30,100,2,1125,51
100%,,1.00,48.86136,2.36587,Paris,75011,Île-de-France,2,Entire home/apt,1,1,2,95 ,,200,59,368,17
100%,,4.00,48.87226,2.31108,Paris,75008,Île-de-France,4,Entire home/apt,1,1.5,2,30 ,30,200,3,7,1
,,1.00,48.86468,2.38027,Paris,75011,Île-de-France,2,Entire home/apt,1,1,1,80 ,50,500,4,30,3
100%,,1.00,48.88079,2.32422,Paris,75008,Île-de-France,2,Entire home/apt,1,1,1,50 ,41,250,30,305,4
,,1.00,48.87211,2.34939,Paris,75010,Île-de-France,4,Entire home/apt,1,1,2,110 ,30,400,2,1125,12
,,1.00,48.84493,2.31119,Paris,75015,Île-de-France,2,Entire home/apt,1,1,1,75 ,,1000,7,30,0
90%,,1.00,48.87145,2.35444,Paris,75010,Île-de-France,5,Entire home/apt,3,1,4,115 ,30,,2,7,72
91%,,3.00,48.83858,2.3476,Paris,75005,Île-de-France,4,Entire home/apt,1,1,1,240 ,,200,1,28,12
100%,,2.00,48.85552,2.38629,Paris,75011,Île-de-France,2,Entire home/apt,0,1,1,64 ,15,100,2,30,245
100%,,4.00,48.84477,2.34322,Paris,75005,Île-de-France,12,Entire home/apt,5,2.5,7,350 ,,500,1,28,253
100%,,3.00,48.86947,2.36964,Paris,75010,Île-de-France,4,Entire home/apt,1,1,1,67 ,35,280,3,30,24
100%,,13.00,48.85705,2.35513,Paris,75004,Île-de-France,6,Entire home/apt,2,2,3,300 ,70,0,3,1125,35
100%,,1.00,48.84972,2.33893,Paris,75006,Île-de-France,5,Entire home/apt,4,2.5,5,300 ,70,500,3,1125,33
100%,,2.00,48.86189,2.37619,Paris,75011,Île-de-France,1,Private room,1,1,1,65 ,26,500,3,30,90
,,1.00,48.87388,2.35992,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,104 ,20,290,2,1125,0
100%,,1.00,48.85147,2.34061,Paris,75006,Île-de-France,3,Entire home/apt,1,1,2,98 ,50,200,5,30,193
,,1.00,48.83929,2.34448,Paris,75005,Île-de-France,3,Entire home/apt,1,1,2,90 ,,,4,365,54
90%,,1.00,48.87591,2.38181,Paris,75019,Île-de-France,6,Entire home/apt,3,2,4,147 ,50,700,3,30,20
,,1.00,48.87543,2.38116,Paris,75019,Île-de-France,1,Private room,1,0.5,2,50 ,,,4,60,3
90%,,1.00,48.88865,2.37536,Paris,75019,Île-de-France,2,Entire home/apt,2,1,4,69 ,45,350,6,1125,27
100%,,1.00,48.89179,2.37537,Paris,75019,Île-de-France,1,Shared room,1,1,1,35 ,0,250,2,2,151
0%,,1.00,48.86624,2.37761,Paris,75011,Île-de-France,4,Entire home/apt,3,2.5,3,190 ,150,4200,90,365,1
100%,,1.00,48.86822,2.36377,Paris,75011,Île-de-France,6,Entire home/apt,2,1,4,189 ,59,1000,7,25,50
100%,,1.00,48.83775,2.34985,Paris,75005,Île-de-France,5,Entire home/apt,2,1,3,220 ,50,450,6,30,7
70%,,2.00,48.88654,2.3473,Paris,75018,Île-de-France,1,Entire home/apt,1,0.5,1,29 ,,,6,1125,57
96%,,2.00,48.86729,2.34846,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,58 ,40,200,3,30,209
100%,,1.00,48.83487,2.35591,Paris,75013,Île-de-France,4,Entire home/apt,1,1,1,80 ,50,250,6,1125,21
50%,,1.00,48.85444,2.27494,Paris,75016,Île-de-France,3,Entire home/apt,1,1,1,110 ,45,300,4,1125,15
100%,,3.00,48.8442,2.35147,Paris,75005,Île-de-France,4,Entire home/apt,1,1,2,139 ,70,300,1,300,65
94%,,1.00,48.84078,2.29488,Paris,75015,Île-de-France,4,Private room,1,1,4,49 ,20,0,1,7,32
100%,,1.00,48.8718,2.39157,Paris,75020,Île-de-France,4,Entire home/apt,2,1,2,190 ,60,600,2,13,10
87%,,1.00,48.84709,2.3943,Paris,75012,Île-de-France,3,Entire home/apt,0,1,2,75 ,30,1500,2,1125,228
100%,,2.00,48.85265,2.36535,Paris,75004,Île-de-France,1,Private room,1,1,1,85 ,40,300,3,14,38
71%,,1.00,48.84431,2.2911,Paris,75015,Île-de-France,2,Entire home/apt,1,1,1,85 ,30,500,2,1125,3
,,1.00,48.86632,2.37037,Paris,75011,Île-de-France,2,Entire home/apt,1,,1,95 ,,,2,365,23
100%,,6.00,48.85799,2.35167,Paris,75004,Île-de-France,7,Entire home/apt,2,1,5,350 ,40,300,7,1124,5
,,1.00,48.86745,2.38853,Paris,75020,Île-de-France,1,Entire home/apt,1,1,3,1000 ,300,0,365,365,0
100%,,2.00,48.86982,2.35813,Paris,75010,Île-de-France,7,Entire home/apt,2,1,5,245 ,30,450,1,1125,218
80%,,1.00,48.88204,2.3661,Paris,75010,Île-de-France,5,Entire home/apt,2,1,3,150 ,30,1000,5,55,4
0%,,1.00,48.85232,2.37839,Paris,75011,Île-de-France,2,Entire home/apt,1,1,1,70 ,30,150,1,30,13
100%,,1.00,48.88664,2.34671,Paris,75018,Île-de-France,2,Entire home/apt,1,,1,70 ,0,500,4,1125,5
80%,,1.00,48.87297,2.38713,Paris,75020,Île-de-France,4,Entire home/apt,2,1,3,97 ,0,0,7,21,13
100%,,1.00,48.8471,2.38259,Paris,75011,Île-de-France,8,Entire home/apt,4,2,6,279 ,65,500,3,30,118
,,1.00,48.8891,2.31846,Paris,75017,Île-de-France,2,Entire home/apt,1,1,1,90 ,30,,1,5,0
,,1.00,48.83498,2.40536,Paris,75012,Île-de-France,2,Private room,1,1,1,150 ,25,1000,1,1125,2
100%,,1.00,48.84915,2.27505,Paris,75016,Île-de-France,2,Private room,1,1,1,110 ,30,600,4,1125,0
100%,,1.00,48.86196,2.38392,Paris,75011,Île-de-France,2,Entire home/apt,1,0,,45 ,30,500,7,1125,8
100%,,1.00,48.856,2.33109,Paris,75007,Île-de-France,1,Entire home/apt,1,0.5,1,55 ,,,5,25,66
91%,,3.00,48.83854,2.34783,Paris,75005,Île-de-France,6,Entire home/apt,2,1,5,350 ,,300,1,28,5
100%,,1.00,48.86542,2.3654,Paris,75003,Île-de-France,4,Entire home/apt,2,1,2,160 ,,400,5,60,62
100%,,3.00,48.84301,2.27064,Paris,75016,Île-de-France,6,Entire home/apt,3,1,4,400 ,90,1000,1,1125,240
100%,,2.00,48.86101,2.37764,Paris,75011,Île-de-France,4,Entire home/apt,2,1,2,125 ,40,500,3,8,8
100%,,1.00,48.86628,2.36175,Paris,75003,Île-de-France,2,Entire home/apt,1,1,1,95 ,35,750,4,1125,31
,,1.00,48.86912,2.30906,Paris,75008,Île-de-France,6,Entire home/apt,3,3.5,3,900 ,,3000,14,45,4
83%,,2.00,48.86908,2.39658,Paris,75020,Île-de-France,3,Entire home/apt,2,1,2,60 ,30,500,1,30,1
100%,,1.00,48.85547,2.37281,Paris,75011,Île-de-France,2,Private room,1,1,1,100 ,35,100,1,15,68
100%,,1.00,48.87471,2.33379,Paris,75009,Île-de-France,6,Entire home/apt,3,2,3,190 ,50,350,7,1125,10
100%,,1.00,48.84061,2.32683,Paris,75014,Île-de-France,2,Entire home/apt,1,1,1,85 ,,300,4,1125,185
100%,,1.00,48.85393,2.39515,Paris,75020,Île-de-France,2,Private room,1,1,1,32 ,12,,7,20,114
100%,,3.00,48.86558,2.35705,Paris,75003,Île-de-France,4,Entire home/apt,2,1,2,220 ,30,800,3,45,19
,,1.00,48.88173,2.32665,Paris,75008,Île-de-France,4,Entire home/apt,2,1,2,175 ,70,1500,5,15,0
,,1.00,48.89303,2.31776,Paris,75017,Île-de-France,2,Entire home/apt,1,1,1,56 ,45,800,3,1125,6
80%,,2.00,48.85191,2.39058,Paris,75011,Île-de-France,3,Entire home/apt,1,1,1,95 ,100,350,12,1125,1
,,1.00,48.88639,2.31999,Paris,75017,Île-de-France,2,Entire home/apt,1,1,1,70 ,50,,4,1125,0
,,1.00,48.87098,2.36448,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,80 ,30,450,3,10,0
75%,,2.00,48.85491,2.41002,Paris,75020,Île-de-France,3,Private room,1,1,2,44 ,40,220,2,14,17
83%,,1.00,48.85075,2.29825,Paris,75015,Île-de-France,2,Entire home/apt,1,1,1,90 ,,,2,5,12
100%,,1.00,48.87715,2.3456,Paris,75009,Île-de-France,8,Entire home/apt,4,1.5,4,220 ,40,1000,4,21,4
100%,,1.00,48.85888,2.35353,Paris,75004,Île-de-France,2,Entire home/apt,1,1,2,102 ,45,800,3,60,14
100%,,1.00,48.85311,2.39597,Paris,75011,Île-de-France,3,Entire home/apt,1,1,2,40 ,40,,7,100,0
,,1.00,48.88567,2.30945,Paris,75017,Île-de-France,4,Entire home/apt,1,1,2,64 ,30,400,4,14,3
100%,,1.00,48.85717,2.37189,Paris,75011,Île-de-France,2,Entire home/apt,1,1,1,140 ,60,200,4,7,6
,,1.00,48.86853,2.37057,Paris,75011,Île-de-France,5,Entire home/apt,3,1,4,120 ,50,400,7,1125,1
67%,,1.00,48.87495,2.3694,Paris,75010,Île-de-France,2,Entire home/apt,1,1,1,60 ,0,400,3,150,28
,,2.00,48.86552,2.37748,Paris,75011,Île-de-France,3,Entire home/apt,1,1,1,80 ,20,200,2,12,4
0%,,1.00,48.86964,2.35981,Paris,75010,Île-de-France,3,Entire home/apt,2,1,3,140 ,60,800,6,50,5
50%,,1.00,48.87507,2.38414,Paris,75020,Île-de-France,4,Entire home/apt,2,1,3,86 ,70,,4,1125,4
,,1.00,48.88563,2.28518,Levallois-Perret,92300,Île-de-France,4,Entire home/apt,2,1,2,65 ,25,500,2,60,57
100%,,1.00,48.88669,2.33669,Paris,75018,Île-de-France,2,Entire home/apt,1,1,1,92 ,,,3,7,108
75%,,1.00,48.87441,2.39167,Paris,75020,Île-de-France,1,Entire home/apt,1,1,2,45 ,20,0,15,30,8
100%,,1.00,48.8596,2.36728,Paris,75003,Île-de-France,2,Entire home/apt,1,1.5,1,220 ,120,350,5,62,37
100%,,2.00,48.85472,2.30921,Paris,75007,Île-de-France,7,Entire home/apt,3,2,6,339 ,140,800,7,60,74
100%,,1.00,48.86712,2.40065,Paris,75020,Île-de-France,3,Entire home/apt,2,1,3,75 ,25,300,3,29,9
100%,,1.00,48.87548,2.34423,Paris,75009,Île-de-France,4,Entire home/apt,1,1,2,70 ,15,,2,365,84
100%,,1.00,48.86005,2.30151,Paris,75007,Île-de-France,2,Entire home/apt,1,1,1,140 ,30,400,2,10,43
,,1.00,48.83942,2.39289,Paris,75012,Île-de-France,4,Entire home/apt,1,1.5,1,91 ,22,250,5,1125,41
100%,,1.00,48.8671,2.34999,Paris,75002,Île-de-France,2,Entire home/apt,1,1,2,70 ,40,500,3,30,36
100%,,2.00,48.85053,2.26002,Paris,75016,Île-de-France,4,Entire home/apt,1,1,3,99 ,,,5,82,46
100%,,1.00,48.85058,2.40479,Paris,75020,Île-de-France,4,Entire home/apt,0,1,0,60 ,7,500,1,10,27
100%,,1.00,48.84626,2.27324,Paris,75016,Île-de-France,2,Entire home/apt,1,1,1,110 ,30,500,2,1125,27
100%,,2.00,48.85723,2.39587,Paris,75020,Île-de-France,6,Entire home/apt,3,1,4,180 ,90,300,3,1125,16
100%,,1.00,48.88492,2.35172,Paris,75018,Île-de-France,4,Entire home/apt,2,1,2,75 ,,450,5,1125,8
100%,,1.00,48.85821,2.36768,Paris,75003,Île-de-France,4,Entire home/apt,1,1,1,160 ,,,4,1125,1
100%,,1.00,48.85553,2.387,Paris,75011,Île-de-France,6,Entire home/apt,1,1,3,90 ,40,,2,100,181
100%,,1.00,48.87845,2.29745,Paris,75017,Île-de-France,3,Entire home/apt,1,1,2,145 ,45,500,2,60,78
90%,,1.00,48.88053,2.36565,Paris,75010,Île-de-France,6,Entire home/apt,2,1,4,130 ,40,300,3,21,126
100%,,2.00,48.88805,2.33978,Paris,75018,Île-de-France,4,Entire home/apt,1,1,0,125 ,50,1400,3,769,0
98%,,30.00,48.85023,2.29916,Paris,75015,Île-de-France,4,Entire home/apt,1,1,1,260 ,0,2000,3,120,4
0%,,1.00,48.87172,2.37039,Paris,75010,Île-de-France,3,Entire home/apt,1,1,0,100 ,30,900,3,10,31
,,2.00,48.89379,2.38068,Paris,75019,Île-de-France,2,Private room,1,1,1,50 ,,,1,1125,1
50%,,1.00,48.89226,2.32289,Paris,75017,Île-de-France,2,Entire home/apt,1,1,1,69 ,45,200,20,60,15
50%,,2.00,48.85517,2.36865,Paris,75004,Île-de-France,4,Entire home/apt,2,1,3,190 ,80,1000,30,300,12
65%,,93.00,48.85782,2.34727,Paris,75001,Île-de-France,2,Entire home/apt,1,1,1,139 ,60,900,30,360,17
60%,,2.00,48.83479,2.40201,Paris,75012,Île-de-France,6,Entire home/apt,2,1,3,100 ,40,1000,3,15,19
82%,,1.00,48.84282,2.31829,Paris,75015,Île-de-France,2,Private room,1,1,1,42 ,20,150,1,1125,71
,,1.00,48.86831,2.35146,Paris,75002,Île-de-France,1,Entire home/apt,0,1,1,50 ,20,,2,1125,36
,,1.00,48.85267,2.37751,Paris,75011,Île-de-France,2,Private room,1,1,1,45 ,,150,2,1125,17
60%,,1.00,48.83697,2.34805,Paris,75013,Île-de-France,4,Entire home/apt,2,1,3,100 ,35,300,3,60,35
,,1.00,48.86002,2.30635,Paris,75007,Île-de-France,2,Entire home/apt,1,1,1,95 ,,800,6,1125,59
100%,,2.00,48.83768,2.34988,Paris,75005,Île-de-France,3,Entire home/apt,1,1,2,135 ,40,800,5,1125,35
100%,,1.00,48.88097,2.33694,Paris,75009,Pigalle,4,Entire home/apt,1,1,2,85 ,40,500,7,30,9
90%,,1.00,48.85038,2.34033,Paris,75006,Île-de-France,5,Entire home/apt,2,1,0,180 ,40,700,5,60,41
,,1.00,48.84812,2.33955,Paris,75006,Île-de-France,2,Entire home/apt,1,1,1,75 ,,,330,330,0
80%,,1.00,48.85713,2.35392,Paris,75004,Île-de-France,2,Entire home/apt,1,1,1,110 ,35,500,4,330,62
100%,,3.00,48.88278,2.33671,Paris,75018,Île-de-France,2,Entire home/apt,1,1,1,121 ,60,850,7,1125,6
100%,,2.00,48.88433,2.38213,Paris,75019,Île-de-France,2,Private room,1,,1,45 ,,,2,365,35
,,1.00,48.84858,2.34112,Paris,75006,Île-de-France,3,Entire home/apt,1,1,2,150 ,20,500,5,1125,0
100%,,1.00,48.83873,2.40034,Paris,75012,Île-de-France,2,Entire home/apt,1,1,0,68 ,20,500,5,1125,30
,,1.00,48.86455,2.34536,Paris,75001,Île-de-France,4,Entire home/apt,1,1,2,111 ,40,300,6,365,1
100%,,1.00,48.89869,2.34252,Paris,75018,Île-de-France,3,Entire home/apt,1,1,1,65 ,,250,10,60,1
100%,,1.00,48.85042,2.32807,Paris,75006,Île-de-France,2,Entire home/apt,1,1,1,190 ,60,700,7,15,8
,,1.00,48.86129,2.37607,Paris,75011,Île-de-France,6,Entire home/apt,2,2,2,190 ,40,0,7,18,0
,,1.00,48.88413,2.33782,Paris,75018,Île-de-France,6,Entire home/apt,3,1,3,57 ,,300,5,16,1
100%,,1.00,48.86624,2.34276,Paris,75001,Île-de-France,2,Private room,0,1,1,81 ,,,1,7,666
100%,,1.00,48.8463,2.32947,Paris,75006,Île-de-France,2,Entire home/apt,1,1,1,74 ,30,600,21,1125,17
100%,,1.00,48.85265,2.40263,Paris,75020,Île-de-France,2,Entire home/apt,1,1,0,50 ,20,300,4,60,33
,,1.00,48.87099,2.3533,Paris,75010,Île-de-France,5,Entire home/apt,3,2,3,190 ,,200,4,1125,17
100%,,1.00,48.89689,2.33492,Paris,75018,Île-de-France,2,Private room,1,1,1,50 ,40,300,1,66,17
100%,,1.00,48.87944,2.34035,Paris,75009,Île-de-France,4,Entire home/apt,2,1,2,120 ,,300,4,40,16
94%,,1.00,48.84496,2.35313,Paris,75005,Île-de-France,1,Private room,1,1,1,54 ,,,1,1125,295
100%,,1.00,48.84546,2.27686,Paris,75015,Île-de-France,2,Entire home/apt,1,1,1,66 ,26,200,3,30,310
,,1.00,48.86745,2.3747,Paris,75011,Île-de-France,2,Entire home/apt,1,1,1,100 ,50,700,7,1125,8
100%,,3.00,48.87943,2.33691,Paris,75009,Île-de-France,2,Entire home/apt,1,1,1,90 ,50,1000,3,15,35
100%,,1.00,48.84732,2.30865,Paris,75015,Île-de-France,9,Entire home/apt,5,2,5,370 ,105,500,3,365,53
86%,,1.00,48.87297,2.36011,Paris,75010,Île-de-France,2,Private room,1,1,1,60 ,22,0,4,30,252
100%,,1.00,48.85561,2.37989,Paris,75011,Île-de-France,4,Entire home/apt,2,1,3,75 ,,,3,28,85
